,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
2,-5.936491124166878,-18.634291747692888,-178.52066479279827,4.0,1.0,-1.0,52.17717376329347,-19872829.500810985,-2111926.647688572,-1
8,-2.0195000303920096,-18.634375079414223,-178.52067305342067,4.0,1.0,-1.0,52.17681282535341,-19872830.420379262,-2111936.437334915,-1
11,-0.5586642800531081,-18.634400726860388,-178.52067556364864,4.0,1.0,-1.0,52.176701807811696,-19872830.699816562,-2111939.450347295,-1
13,-5.71589578979183,-18.63449679888618,-178.52068594161796,4.0,1.0,-1.0,52.17628624429926,-19872831.855086822,-2111950.7367071547,-1
19,-0.6105986167813171,-18.63458658173868,-178.52069466835135,4.0,1.0,-1.0,52.1758983042273,-19872832.82654234,-2111961.2842325987,-1
28,-6.745628336858772,-18.634708293447108,-178.52070769538673,4.0,1.0,-1.0,52.17537305062615,-19872834.276705287,-2111975.5827105907,-1
33,-0.5165562383781435,-18.634772450025864,-178.5207136584728,4.0,1.0,-1.0,52.17509647905172,-19872834.940512992,-2111983.1197170382,-1
36,-7.002812681610976,-18.63483005766793,-178.5207201515452,4.0,1.0,-1.0,52.174848315471536,-19872835.663318504,-2111989.8873678967,-1
47,-0.6474896353411168,-18.637272005080618,-178.52097484756223,4.0,1.0,-1.0,52.16448223351472,-19872864.015949424,-2112276.765436067,-1
60,-0.7315090827978565,-18.638056280635677,-178.52105468992255,4.0,1.0,-1.0,52.16121656799805,-19872872.90396032,-2112368.9023884367,-1
66,-1.1267071212587325,-18.6381587704958,-178.52106546453228,4.0,1.0,-1.0,52.16079209185409,-19872874.10338439,-2112380.942962629,-1
74,-0.5357253726779163,-18.638274140803606,-178.52107754488333,4.0,1.0,-1.0,52.16031490120076,-19872875.448162917,-2112394.496748727,-1
85,-0.6828512653123653,-18.63840878899972,-178.52109177853444,4.0,1.0,-1.0,52.159758820058414,-19872877.03264571,-2112410.3153265407,-1
92,-0.5730084230208377,-18.638517812180165,-178.52110331625633,4.0,1.0,-1.0,52.15930923484484,-19872878.317019038,-2112423.123466198,-1
112,-0.5041117322020909,-18.63874225971583,-178.5211271449168,4.0,1.0,-1.0,52.15838554853508,-19872880.969613384,-2112449.491787068,-1
163,-0.9186437317107448,-18.6391074576299,-178.52116599051692,4.0,1.0,-1.0,52.15688803306875,-19872885.293885812,-2112492.3956775656,-1
561,-3.220926461446197,-18.648497122548203,-178.5221525711587,4.0,1.0,-1.0,52.12068708449988,-19872995.11954048,-2113595.536493374,-1
581,-1.4772693206464282,-18.648535436847645,-178.52215637804267,4.0,1.0,-1.0,52.12054844559498,-19872995.54332087,-2113600.03795762,-1
693,-0.6182721046848201,-18.64870149071178,-178.52217342953296,4.0,1.0,-1.0,52.119948438570646,-19872997.44148408,-2113619.54727902,-1
767,-0.537503042552089,-18.648829319365873,-178.52218653400124,4.0,1.0,-1.0,52.11948749586372,-19872998.90026682,-2113634.5656133937,-1
882,-1.7340138191702863,-18.649078761795035,-178.5222120983573,4.0,1.0,-1.0,52.1185903860096,-19873001.746077918,-2113663.8721409254,-1
1047,-0.5257735699942714,-18.65021145205831,-178.522327962712,4.0,1.0,-1.0,52.114556054344575,-19873014.644038886,-2113796.950357101,-1
1120,-0.5820288324002831,-18.650741792811118,-178.5223834940969,4.0,1.0,-1.0,52.11268929158905,-19873020.825764377,-2113859.2596655996,-1
1155,-0.510172107588005,-18.65088853175958,-178.5223990869398,4.0,1.0,-1.0,52.11217527756526,-19873022.561551705,-2113876.499941014,-1
1185,-1.6349301062223276,-18.651028851322735,-178.52241414674373,4.0,1.0,-1.0,52.111684762398,-19873024.23800141,-2113892.986020449,-1
1190,-0.7263382568394263,-18.65107350919307,-178.52241882438673,4.0,1.0,-1.0,52.11152885946103,-19873024.758714247,-2113898.232855477,-1
1199,-0.5807722678732716,-18.651111777680164,-178.52242289353754,4.0,1.0,-1.0,52.11139534194626,-19873025.211690042,-2113902.7290055607,-1
1213,-0.6682276782985355,-18.65118193709304,-178.5224303881191,4.0,1.0,-1.0,52.11115074920599,-19873026.045983046,-2113910.972011096,-1
1398,-0.8719018324600256,-18.65272827140395,-178.52259227576502,4.0,1.0,-1.0,52.10582267236532,-19873044.067233354,-2114092.6511679706,-1
1518,-0.6923958421307361,-18.65396100130121,-178.52271887633182,4.0,1.0,-1.0,52.101661253049315,-19873058.160343986,-2114237.4860592796,-1
1528,-0.5052465060989562,-18.6540311030086,-178.52272614182627,4.0,1.0,-1.0,52.10142690071007,-19873058.969135128,-2114245.722423273,-1
1541,-0.5494858645465683,-18.654133046773048,-178.52273675545698,4.0,1.0,-1.0,52.10108654009855,-19873060.150639094,-2114257.699968582,-1
1542,-0.5836893948567194,-18.654133046392623,-178.52273675864956,4.0,1.0,-1.0,52.101086541368204,-19873060.15099449,-2114257.699923885,-1
1567,-0.6127788237067762,-18.654228601522597,-178.5227467247502,4.0,1.0,-1.0,52.10076798483169,-19873061.26041574,-2114268.926864253,-1
1577,-0.5161823128714786,-18.654273192276108,-178.52275137096322,4.0,1.0,-1.0,52.10061948763723,-19873061.777629808,-2114274.165912513,-1
1579,-0.532369981166994,-18.654273192096056,-178.5227513724741,4.0,1.0,-1.0,52.10061948823568,-19873061.777797997,-2114274.16589136,-1
1595,-1.7481833069509776,-18.6543241361837,-178.52275681042838,4.0,1.0,-1.0,52.10044995532917,-19873062.383148298,-2114280.15140602,-1
1603,-0.5406322886292401,-18.654343257708323,-178.5227586954775,4.0,1.0,-1.0,52.10038635594901,-19873062.59299101,-2114282.3980296184,-1
1627,-0.5000849675020618,-18.654451533916465,-178.52277002339923,4.0,1.0,-1.0,52.100026569218244,-19873063.854009487,-2114295.1196080814,-1
1647,-0.6450234477974846,-18.654502486098412,-178.52277537584692,4.0,1.0,-1.0,52.09985746612256,-19873064.44984124,-2114301.106080047,-1
1685,-0.5359737671110452,-18.654617140021724,-178.52278737465207,4.0,1.0,-1.0,52.09947742312397,-19873065.785542116,-2114314.5770013356,-1
1693,-0.5079483709932902,-18.654636247196994,-178.5227893845686,4.0,1.0,-1.0,52.099414152860845,-19873066.009285,-2114316.8219428784,-1
1736,-0.5452001795342767,-18.65480184972485,-178.52280684369015,4.0,1.0,-1.0,52.098866556110806,-19873067.952825524,-2114336.2789369924,-1
1753,-0.5550113625740778,-18.655012114357255,-178.52282901906693,4.0,4.0,-1.0,52.098173261671036,-19873070.421377175,-2114360.9834043593,-1
1760,-0.5756539468493429,-18.655152355224537,-178.52284380120116,4.0,4.0,-1.0,52.097712088230764,-19873072.06691683,-2114377.4606381557,-1
1764,-0.5230217710400211,-18.655260767730176,-178.52285520957932,4.0,4.0,-1.0,52.09735625787107,-19873073.336891677,-2114390.1982912016,-1
1789,-0.5669673057996079,-18.655624612538027,-178.52289339418837,4.0,4.0,-1.0,52.09616636867031,-19873077.587582912,-2114432.947375785,-1
1792,-0.503067525410188,-18.655688501959002,-178.52290006865923,4.0,4.0,-1.0,52.09595811656254,-19873078.33058161,-2114440.4539215555,-1
1810,-0.5548911720279648,-18.655963449564435,-178.52292872096714,4.0,4.0,-1.0,52.095064246623224,-19873081.520141937,-2114472.7583126966,-1
1864,-0.8313055282069399,-18.656604163547712,-178.522994870972,4.0,1.0,-1.0,52.09299599398946,-19873088.883926794,-2114548.037858893,-1
1880,-0.5286834406151684,-18.65680291418552,-178.52301545170118,4.0,4.0,-1.0,52.09235861133129,-19873091.174963083,-2114571.3897681967,-1
1909,-0.9098036336972655,-18.65714915774459,-178.52305156050318,4.0,1.0,-1.0,52.091252969115885,-19873095.19457654,-2114612.0712032937,-1
1911,-0.7153855738401944,-18.657168371224312,-178.52305357551626,4.0,1.0,-1.0,52.09119179213849,-19873095.418886766,-2114614.3286684495,-1
1912,-0.5518838299985873,-18.657168373041817,-178.52305356025565,4.0,4.0,-1.0,52.09119178635228,-19873095.417187963,-2114614.3288819953,-1
1926,-0.7365807022624722,-18.65731564523582,-178.52306919417367,4.0,1.0,-1.0,52.09072347826077,-19873097.157547757,-2114631.632463348,-1
1934,-0.6443854354929499,-18.65740528347884,-178.52307871161986,4.0,1.0,-1.0,52.09043897299125,-19873098.21702502,-2114642.1644155877,-1
1945,-0.5231008339842447,-18.657526926419006,-178.52309164363686,4.0,4.0,-1.0,52.09005353304019,-19873099.656610567,-2114656.456735363,-1
1948,-0.5861630005606457,-18.65757174080006,-178.52309642073917,4.0,4.0,-1.0,52.08991172088099,-19873100.18839516,-2114661.7221603678,0
1959,-0.6150265654541727,-18.657622956404015,-178.5231018767143,4.0,4.0,-1.0,52.089749776074314,-19873100.795751534,-2114667.739692947,0
1964,-0.6586250890049996,-18.65764856185655,-178.52310460719818,4.0,1.0,-1.0,52.08966886053531,-19873101.099707615,-2114670.748183873,0
1970,-0.5958387895193482,-18.65769977895755,-178.52311005410036,4.0,4.0,-1.0,52.08950710876343,-19873101.70605399,-2114676.7658950696,0
1971,-0.685369942053967,-18.65771258190669,-178.523111425441,4.0,1.0,-1.0,52.08946669560646,-19873101.85871093,-2114678.270167343,0
1972,-1.497908214490053,-18.657718975231102,-178.52311218277632,4.0,1.0,-1.0,52.08944651783895,-19873101.943017114,-2114679.0213459264,0
1974,-0.948010829416944,-18.65776379567386,-178.52311690084431,4.0,1.0,-1.0,52.08930511915423,-19873102.468230043,-2114684.2874891046,0
1977,-1.5536574554998879,-18.657789397653442,-178.52311968199325,4.0,1.0,-1.0,52.08922439582602,-19873102.777826123,-2114687.295574475,0
1980,-1.8998293444169576,-18.657815002823735,-178.52312243825165,4.0,1.0,-1.0,52.089143695387975,-19873103.084651403,-2114690.304035189,-1
1981,-0.5689488539624108,-18.65784702779583,-178.5231257177112,4.0,4.0,-1.0,52.08904280788738,-19873103.449719172,-2114694.0667864485,-1
2004,-5.556143594295463,-18.658058252067086,-178.52314860478307,4.0,1.0,-1.0,52.088378684402414,-19873105.99749636,-2114718.8844493674,-1
2011,-0.7329783644927375,-18.658115926771924,-178.52315425244302,4.0,1.0,-1.0,52.088197735502035,-19873106.62619099,-2114725.6609079107,-1
2012,-7.019803904881883,-18.65812226155982,-178.5231555165056,4.0,1.0,-1.0,52.0881778708972,-19873106.76690579,-2114726.4052105607,-1
2013,-6.25152044720744,-18.658135075268238,-178.52315679852575,4.0,1.0,-1.0,52.08813769588596,-19873106.909619622,-2114727.9107507346,-1
2014,-5.915739341627614,-18.65813507874216,-178.5231567671576,4.0,1.0,-1.0,52.08813768499567,-19873106.906127736,-2114727.911158902,-1
2022,-7.249237483963952,-18.658250316678288,-178.52316905482357,4.0,1.0,-1.0,52.087776748638134,-19873108.273984455,-2114741.450986894,-1
2024,-0.7894473235460282,-18.65825678912933,-178.5231691261913,4.0,1.0,-1.0,52.08775649609197,-19873108.281929072,-2114742.2114648065,-1
2026,-7.09829490297534,-18.658282332586918,-178.5231724122447,4.0,1.0,-1.0,52.08767659019759,-19873108.64773086,-2114745.2126828977,1
2027,-7.354103273002238,-18.658295133588847,-178.52317378362505,4.0,1.0,-1.0,52.0876365580134,-19873108.800392225,-2114746.716731549,1
2034,-7.58436065027945,-18.65835275798519,-178.52317986332213,4.0,1.0,-1.0,52.08745645297677,-19873109.477181006,-2114753.4872885747,1
2037,-7.556475825923371,-18.65839117571382,-178.52318389336588,4.0,1.0,-1.0,52.08733647110421,-19873109.925803427,-2114758.0011665956,1
2040,-8.160667060632477,-18.65841666498571,-178.52318669521208,4.0,1.0,-1.0,52.08725690685242,-19873110.237703517,-2114760.996020532,1
2043,-8.019079353986854,-18.658429488998884,-178.5231880151602,4.0,1.0,-1.0,52.08721688930018,-19873110.38463947,-2114762.502774072,-1
2051,-8.388050331001978,-18.658544881265783,-178.5232000231612,4.0,1.0,-1.0,52.086857177582715,-19873111.72136403,-2114776.060758616,-1
2067,-6.128350795477218,-18.658692325747655,-178.52321505161711,4.0,1.0,-1.0,52.086398523608295,-19873113.39432409,-2114793.3847232847,-1
2086,-10.30110873854619,-18.658794794184974,-178.52322600767226,4.0,1.0,-1.0,52.08608041970547,-19873114.61394657,-2114805.4242440066,-1
2088,-1.0211441825126713,-18.65881411125016,-178.5232271196035,4.0,1.0,-1.0,52.08602051076559,-19873114.737726185,-2114807.6939018266,-1
2090,-8.22604297076441,-18.658826844454367,-178.52322911092423,4.0,1.0,-1.0,52.08598103092481,-19873114.959399,-2114809.1899892986,-1
2096,-1.0477304328105674,-18.658890963294954,-178.52323502820855,4.0,1.0,-1.0,52.0857823515762,-19873115.618108075,-2114816.7236323883,-1
2097,-8.630235670338152,-18.65890368768011,-178.52323705280972,4.0,1.0,-1.0,52.08574294822756,-19873115.843485646,-2114818.2186843455,-1
2104,-9.64654346901034,-18.658993291587404,-178.5232463556721,4.0,1.0,-1.0,52.08546570404178,-19873116.87907555,-2114828.7467008717,-1
2105,-8.87820894965489,-18.659006098399647,-178.52324759836858,4.0,1.0,-1.0,52.085426111339984,-19873117.01741189,-2114830.2514385073,-1
2111,-10.587609128125678,-18.65908924637562,-178.52325629694369,4.0,1.0,-1.0,52.08516925701588,-19873117.985732842,-2114840.020920705,-1
2119,-9.545254443199156,-18.659217113865108,-178.52326932413789,4.0,1.0,-1.0,52.08477493671671,-19873119.435913466,-2114855.04473727,-1
2135,-11.878829025883078,-18.659415023227414,-178.52328987577536,4.0,0.0,-1.0,52.08416624023994,-19873121.723711286,-2114878.2981601846,-1
2138,-8.860155929615757,-18.65949796642186,-178.52329812455736,4.0,1.0,-1.0,52.083911722886114,-19873122.641961496,-2114888.0436050324,-1
2208,-4.934782924179672,-18.660330036437855,-178.52338444331974,4.0,1.0,-1.0,52.081377588277974,-19873132.25092217,-2114985.808278414,-1
2209,-4.334457325212952,-18.660330042853982,-178.52338438726048,4.0,1.0,-1.0,52.081377568871176,-19873132.244681682,-2114985.8090322847,-1
2230,-7.686725079963253,-18.66051382191787,-178.5234040680683,4.0,1.0,-1.0,52.08082254721012,-19873134.435539186,-2115007.402352078,-1
2237,-7.4254733890193165,-18.660570883442645,-178.5234100649704,4.0,1.0,-1.0,52.0806505640212,-19873135.103111275,-2115014.106862378,-1
2239,-7.083998723460809,-18.660621614091873,-178.52341538925756,4.0,1.0,-1.0,52.08049779949397,-19873135.69580821,-2115020.0675209775,-1
2241,-0.8497351418814105,-18.660628022644122,-178.52341547690065,4.0,1.0,-1.0,52.08047851070842,-19873135.705564592,-2115020.820501653,-1
2244,-6.91396522702189,-18.660653324298256,-178.5234187227253,4.0,1.0,-1.0,52.08040237667046,-19873136.066888142,-2115023.793350691,-1
2248,-6.877881996137603,-18.660672351627063,-178.5234207296071,4.0,1.0,-1.0,52.08034514361316,-19873136.2902932,-2115026.028990434,-1
2251,-5.35526557550611,-18.66067870918988,-178.5234212574649,4.0,1.0,-1.0,52.08032602450294,-19873136.34905406,-2115026.7759802667,2
2254,-5.48995969663747,-18.66071676804513,-178.52342529234144,4.0,1.0,-1.0,52.08021161252509,-19873136.798214465,-2115031.247753879,2
2255,-7.243603736449586,-18.660723092851548,-178.5234261266139,4.0,1.0,-1.0,52.0801926060376,-19873136.891085252,-2115031.9908951516,-1
2256,-5.964457519079133,-18.660729450794417,-178.52342667777998,4.0,1.0,-1.0,52.080173502001344,-19873136.95244078,-2115032.737929863,2
2257,-6.006643323283697,-18.660742139128672,-178.5234280230653,4.0,1.0,-1.0,52.080135382786466,-19873137.102197252,-2115034.228762171,2
2258,-6.0917387427448375,-18.66074848276365,-178.523428701743,4.0,1.0,-1.0,52.080116327810174,-19873137.177747313,-2115034.974115841,2
2263,-5.7574940956978935,-18.66078655972849,-178.52343269611455,4.0,1.0,-1.0,52.08000199494745,-19873137.62239872,-2115039.4480191036,2
2266,-5.657086573553443,-18.660811947096857,-178.5234353713675,4.0,1.0,-1.0,52.07992580534665,-19873137.920206513,-2115042.4309420297,2
2269,-4.113524647356371,-18.660824658121502,-178.52343656981367,4.0,1.0,-1.0,52.079887670677635,-19873138.05361693,-2115043.924441102,-1
2271,-5.214131785729933,-18.660869084533466,-178.52344137302944,4.0,1.0,-1.0,52.07975444965814,-19873138.588308465,-2115049.1443834775,2
2273,-1.053672229852964,-18.66088182850241,-178.5234423279438,4.0,1.0,-1.0,52.07971625275968,-19873138.694609046,-2115050.64175389,-1
2275,-4.505599606478427,-18.66090083931363,-178.5234446653998,4.0,1.0,-1.0,52.07965928772319,-19873138.954813458,-2115052.8754558866,-1
2280,-4.449812791433487,-18.660945299655324,-178.52344936410924,4.0,1.0,-1.0,52.079526135241395,-19873139.4778714,-2115058.099387229,3
2284,-4.804205301416005,-18.660996086145726,-178.52345478267517,4.0,1.0,-1.0,52.07937415839842,-19873140.0810634,-2115064.0666201254,3
2285,-4.419306274677638,-18.661015168650398,-178.52345676162136,4.0,1.0,-1.0,52.07931708816068,-19873140.30135868,-2115066.3087473535,3
2287,-5.326242031256697,-18.661021518720283,-178.52345751798677,4.0,1.0,-1.0,52.07929810100177,-19873140.385556895,-2115067.054858304,3
2288,-5.072809751641671,-18.661021521284283,-178.52345749430575,4.0,1.0,-1.0,52.07929809333473,-19873140.382920735,-2115067.0551595665,3
2309,-5.931292868079709,-18.661212443894886,-178.52347774004312,4.0,1.0,-1.0,52.0787281677749,-19873142.636665907,-2115089.487910005,-1
2314,-5.518997530788965,-18.661295270906006,-178.52348644844574,4.0,1.0,-1.0,52.07848148961966,-19873143.606080856,-2115099.2198069408,-1
2317,-5.137852630290126,-18.661339890735448,-178.52349112432944,4.0,1.0,-1.0,52.07834874427681,-19873144.126597848,-2115104.4624897167,-1
2319,-1.4726506632291603,-18.661359056765527,-178.52349280176085,4.0,1.0,-1.0,52.07829175548068,-19873144.313328657,-2115106.7144354526,-1
2324,-0.699233811470549,-18.661403704873802,-178.52349744300597,4.0,1.0,-1.0,52.07815906918404,-19873144.8299897,-2115111.960442872,-1
2329,-5.268159917851335,-18.661473832620487,-178.5235052785896,4.0,1.0,-1.0,52.07795086418264,-19873145.70224288,-2115120.200227667,4
2330,-5.303276114400433,-18.661473832229618,-178.52350528186722,4.0,1.0,-1.0,52.077950865343155,-19873145.702607743,-2115120.200181742,4
2332,-5.393332640430799,-18.66148021280661,-178.52350596394479,4.0,1.0,-1.0,52.07793193406724,-19873145.77853627,-2115120.949879197,4
2335,-5.707290618821844,-18.66152488833384,-178.52351070945647,4.0,1.0,-1.0,52.07779943837704,-19873146.306804217,-2115126.1991120004,4
2336,-5.72530659229642,-18.661531272048236,-178.52351138495828,4.0,1.0,-1.0,52.077780514175174,-19873146.382000733,-2115126.9491783166,4
2337,-5.8376618273155145,-18.66153127079756,-178.5235113954457,4.0,1.0,-1.0,52.077780517882275,-19873146.383168187,-2115126.949031365,4
2339,-5.650250627330024,-18.661537656849486,-178.523512051765,4.0,1.0,-1.0,52.07776158880006,-19873146.456229318,-2115127.69937236,4
2344,-5.907179308772356,-18.66155042161282,-178.52351342329905,4.0,1.0,-1.0,52.07772375853892,-19873146.60890779,-2115129.1991919493,4
2348,-5.931155751229653,-18.661607896721375,-178.52351949106406,4.0,1.0,-1.0,52.077553524019095,-19873147.284368303,-2115135.9523380282,4
2349,-6.425374713047404,-18.661614278821144,-178.5235202112238,4.0,1.0,-1.0,52.077534631231174,-19873147.364536118,-2115136.702214997,4
2351,-5.890603984175414,-18.661627060568833,-178.5235215093803,4.0,1.0,-1.0,52.07749679986409,-19873147.509046238,-2115138.2040308705,4
2352,-6.1881363267602865,-18.661639834152158,-178.5235228852811,4.0,1.0,-1.0,52.07745900086593,-19873147.662210815,-2115139.70488757,4
2354,-6.1201815637687105,-18.661652613610197,-178.5235242271945,4.0,1.0,-1.0,52.07742119269096,-19873147.81159193,-2115141.2064346448,4
2358,-6.07174864698527,-18.661716520878226,-178.52353096437332,4.0,1.0,-1.0,52.07723224545953,-19873148.561571244,-2115148.715344074,4
2361,-6.453326712272883,-18.66174208643586,-178.523533696943,4.0,1.0,-1.0,52.07715671621736,-19873148.86575951,-2115151.7192200557,4
2364,-6.282069023319309,-18.66175487474108,-178.52353502948546,4.0,1.0,-1.0,52.07711894759632,-19873149.01409746,-2115153.221807553,4
2369,-6.576437712669758,-18.661793234756164,-178.52353910253996,4.0,1.0,-1.0,52.07700570551606,-19873149.46750781,-2115157.728994918,4
2371,-6.583098476545274,-18.66180602576025,-178.5235404518874,4.0,1.0,-1.0,52.076967961809714,-19873149.617716484,-2115159.2318999763,4
2372,-6.593950336859052,-18.661806025639454,-178.5235404529004,4.0,1.0,-1.0,52.076967962166236,-19873149.61782925,-2115159.2318857824,4
2373,-6.254979343690593,-18.66181242507555,-178.52354109560721,4.0,1.0,-1.0,52.07694908178928,-19873149.689375043,-2115159.9838005933,4
2378,-6.512598563169831,-18.661863595776087,-178.52354651460112,4.0,1.0,-1.0,52.0767981859517,-19873150.292614684,-2115165.9962075567,4
2382,-6.29949036561311,-18.661895588513318,-178.52354986662428,4.0,1.0,-1.0,52.07670391033571,-19873150.665760197,-2115169.755261104,4
2386,-6.367941191227601,-18.661927583918565,-178.52355324502105,4.0,1.0,-1.0,52.07660967830998,-19873151.041841604,-2115173.5146288425,4
2387,-6.306832600551843,-18.661927584598722,-178.523553239317,4.0,1.0,-1.0,52.07660967630545,-19873151.041206636,-2115173.514708759,4
2391,-3.7115394150964676,-18.66195961483916,-178.5235563690889,4.0,1.0,-1.0,52.07651539322433,-19873151.389611248,-2115177.278170242,-1
2393,-6.923693105457005,-18.661965980869006,-178.52355734341606,4.0,1.0,-1.0,52.07649666054749,-19873151.498072848,-2115178.026160596,4
2396,-6.136961512666858,-18.662004396904486,-178.52356131614783,4.0,1.0,-1.0,52.07638366076935,-19873151.94031533,-2115182.539935807,4
2397,-6.3849092116251995,-18.662004394144844,-178.52356133929234,4.0,1.0,-1.0,52.07638366888568,-19873151.94289176,-2115182.539611555,4
